index,time
0,1.84456205368042
1,1.8349952697753904
2,1.8346731662750244
3,1.8622486591339111
4,1.8358504772186282
5,1.8413650989532468
6,1.8542964458465576
7,1.8774366378784182
8,1.8387086391448972
9,1.8613147735595703
10,1.8787662982940676
11,1.908853769302368
12,1.8628976345062256
13,1.867865800857544
14,1.929680109024048
15,1.8610010147094729
16,1.8457069396972656
17,1.8353984355926516
18,1.8391966819763184
19,1.891746997833252
20,1.8458123207092283
21,1.8497493267059328
22,1.8545620441436768
23,1.844888687133789
24,1.8652942180633545
25,2.7403852939605717
26,2.754812717437744
27,2.742010593414306
28,2.7439992427825928
29,2.7391719818115234
30,2.7934377193450928
31,2.7955527305603027
32,2.7857813835144043
33,2.7031209468841557
34,2.692434787750244
35,2.706644296646118
36,2.707160234451294
37,2.729018211364746
38,2.768700122833252
39,2.710423231124878
40,2.743860006332397
41,2.691598653793335
42,2.813324213027954
43,2.758601427078247
44,2.7630655765533447
45,2.7008707523345947
46,2.73660659790039
47,2.673034906387329
48,2.7385790348052983
49,2.7695152759552
50,2.8004674911499023
51,2.72109603881836
52,2.7375967502593994
53,2.7004148960113525
54,2.8053290843963623
55,2.804473638534546
56,2.7740354537963867
57,2.725287675857544
58,2.739250659942627
59,2.7457716464996342
60,2.7203402519226074
61,2.7408668994903564
62,1.6913678646087646
63,1.7680716514587402
64,1.7057373523712158
65,1.687990427017212
66,1.6765844821929932
67,1.7005178928375244
68,1.6960747241973877
69,1.704493284225464
70,1.68988037109375
71,1.6861803531646729
72,1.6991755962371826
73,1.7132177352905271
74,1.690624713897705
75,1.7274072170257568
76,1.6341211795806885
77,1.7005321979522705
78,1.6558828353881836
79,1.661203145980835
80,1.6580967903137207
81,1.6539449691772459
82,1.6456453800201416
83,1.646328687667847
84,1.653374195098877
85,1.6407968997955322
86,1.659991979598999
87,1.6660206317901611
88,1.6635808944702148
89,1.6650505065917969
90,1.6540484428405762
91,1.6440460681915283
92,1.6546921730041504
93,1.6742262840270996
94,1.6618435382843018
95,1.687700271606445
96,1.648906946182251
97,1.6859495639801023
98,1.6632671356201172
99,1.6647436618804932
