index,time
0,21.06376576423645
1,21.323680877685547
2,20.840291023254395
3,21.180218219757077
4,21.016612529754642
5,21.468875169754032
6,21.06435489654541
7,22.402652025222782
8,20.77237272262573
9,21.15119194984436
10,21.078835964202877
11,21.102489233016968
12,21.41518497467041
13,20.83779788017273
14,21.02877426147461
15,21.375999927520756
16,20.96709942817688
17,20.58558464050293
18,21.28058195114136
19,21.690665245056152
20,20.634222269058228
21,20.69663715362549
22,21.05420184135437
23,21.088829517364506
24,21.43651032447815
25,21.428490161895756
26,21.37105798721313
27,21.04963755607605
28,21.49605703353882
29,20.874635696411133
30,21.006515502929688
31,21.13215947151184
32,20.263852834701535
33,21.015089511871334
34,21.045466899871823
35,21.1184811592102
36,21.03272795677185
37,20.813297033309933
38,20.64656639099121
39,20.39565372467041
40,20.978750705718998
41,20.73905849456787
42,20.753151655197144
43,20.76506876945496
44,20.489415168762207
45,20.33713150024414
46,20.433012008666992
47,20.83980679512024
48,20.66562128067017
49,44.006401777267456
50,41.95049691200256
51,41.834011554718025
52,42.132224559783936
53,42.43469047546387
54,41.853816986083984
55,41.79960203170776
56,41.65127038955689
57,42.06844067573547
58,41.98691821098328
59,42.032217264175415
60,41.527966499328606
61,42.54797792434693
62,42.23560094833374
63,42.718117713928216
64,42.03454470634461
65,41.90852189064026
66,41.740322828292854
67,42.00459885597229
68,42.13848757743835
69,41.783611536026
70,42.53169059753418
71,41.62478494644165
72,41.94382095336914
73,42.30474209785461
74,23.436694383621216
75,23.459083318710327
76,23.04358386993408
77,23.263814449310303
78,23.22074580192566
79,23.3212833404541
80,20.591722965240482
81,20.510271310806274
82,20.474816799163822
83,20.43238139152527
84,20.906526803970337
85,20.288480758666992
86,21.12901759147644
87,20.966024875640873
88,21.172545433044434
89,20.547406435012817
90,20.642539024353027
91,20.547402143478394
92,20.311743259429928
93,20.39104533195496
94,20.613488912582397
95,20.345951080322266
96,21.03029441833496
97,20.82971024513245
98,20.54240202903748
99,20.973659753799442
