index,time
0.0,21.459729433059692
1.0,21.252973318099976
2.0,Found better solution: function_threshold:1619 trace_eagerness:200 threshold_ratio:0.6418 decay:50 disable_unrolling:200 max_retrace_guards:15 evaluated:1 fitness:21.253478
3.0,20.64063334465027
4.0,Found better solution: function_threshold:1619 trace_eagerness:200 threshold_ratio:0.6418 decay:40 disable_unrolling:200 max_retrace_guards:15 evaluated:1 fitness:20.641129
5.0,20.937496185302734
6.0,21.269046783447266
7.0,21.21372961997986
8.0,20.847844123840332
9.0,20.57944393157959
10.0,Found better solution: function_threshold:1619 trace_eagerness:200 threshold_ratio:0.5918 decay:20 disable_unrolling:190 max_retrace_guards:10 evaluated:1 fitness:20.579959
11.0,20.980035066604614
12.0,20.742897033691406
13.0,20.608778476715088
14.0,20.530718088150024
15.0,Found better solution: function_threshold:1619 trace_eagerness:210 threshold_ratio:0.5918 decay:20 disable_unrolling:210 max_retrace_guards:5 evaluated:1 fitness:20.531263
16.0,20.47457528114319
17.0,Found better solution: function_threshold:1619 trace_eagerness:220 threshold_ratio:0.5918 decay:20 disable_unrolling:210 max_retrace_guards:5 evaluated:1 fitness:20.475149
18.0,20.76418709754944
19.0,20.89397406578064
20.0,20.891277074813843
21.0,20.625366687774658
22.0,20.492530822753906
23.0,20.46997094154358
24.0,Found better solution: function_threshold:1579 trace_eagerness:220 threshold_ratio:0.5418 decay:10 disable_unrolling:210 max_retrace_guards:5 evaluated:1 fitness:20.470512
25.0,21.067800283432007
26.0,20.34710955619812
27.0,Found better solution: function_threshold:1599 trace_eagerness:210 threshold_ratio:0.5418 decay:10 disable_unrolling:210 max_retrace_guards:5 evaluated:1 fitness:20.347650
28.0,20.687340021133423
29.0,20.733944416046143
30.0,20.851101398468018
31.0,20.38388705253601
32.0,20.179335594177246
33.0,Found better solution: function_threshold:1579 trace_eagerness:200 threshold_ratio:0.5418 decay:10 disable_unrolling:210 max_retrace_guards:10 evaluated:1 fitness:20.179873
34.0,20.61125898361206
35.0,20.24857759475708
36.0,20.321823835372925
37.0,20.408210277557373
38.0,20.116304636001587
39.0,Found better solution: function_threshold:1579 trace_eagerness:200 threshold_ratio:0.5918 decay:10 disable_unrolling:220 max_retrace_guards:5 evaluated:1 fitness:20.116817
40.0,20.41272473335266
41.0,43.922059059143066
42.0,44.22664427757263
43.0,43.76169157028198
44.0,43.672248125076294
45.0,43.59738826751709
46.0,43.03202295303345
47.0,33.9281120300293
48.0,35.24864673614502
49.0,34.27339768409729
50.0,34.30344486236572
51.0,35.11747455596924
52.0,34.55739784240723
53.0,34.65580868721008
54.0,34.453052043914795
55.0,33.9993212223053
56.0,35.681376695632935
57.0,35.48480987548828
58.0,45.76922798156738
59.0,35.2555935382843
60.0,35.69935655593872
61.0,31.48150110244751
62.0,30.97640585899353
63.0,35.91438364982605
64.0,42.20767116546631
65.0,40.56720948219299
66.0,29.483549118041992
67.0,29.175028562545776
68.0,40.91291356086731
69.0,29.704424619674683
70.0,30.21333909034729
71.0,29.50768494606018
72.0,29.32351279258728
73.0,30.750888109207153
74.0,26.54528784751892
75.0,26.192236185073853
76.0,25.747045516967773
77.0,26.198110103607178
78.0,26.198986768722534
79.0,25.790743350982666
80.0,25.68353843688965
81.0,26.01361656188965
82.0,25.54326319694519
83.0,26.001097202301025
84.0,25.884826183319092
85.0,25.72314190864563
86.0,25.798518419265747
87.0,26.064769983291626
88.0,25.643940687179565
89.0,29.47777009010315
90.0,20.545962810516357
91.0,20.02221369743347
92.0,20.633827924728394
93.0,20.705184936523438
94.0,21.199131727218628
95.0,20.475284099578857
96.0,20.28378677368164
97.0,20.23712468147278
98.0,20.947781801223755
99.0,20.786017417907715
,20.085570573806763
,20.615753412246704
,20.012917280197144
,20.067006826400757
,20.472317457199097
,20.509275674819946
,20.715211629867554
,20.73505449295044
,20.404852390289307
