index,time
0,1.86659836769104
1,2.964619874954224
2,2.9399635791778564
3,2.5652506351470947
4,1.8916208744049072
5,1.8468754291534424
6,2.694165706634521
7,3.2298710346221924
8,2.7344684600830083
9,2.5477113723754883
10,1.5767569541931152
11,3.289536476135254
12,1.8834054470062256
13,2.6666736602783203
14,1.8550188541412356
15,1.7500748634338381
16,2.161059856414795
17,3.323843240737915
18,1.5718653202056885
19,2.8224809169769287
20,1.5195260047912598
21,2.0200512409210205
22,1.5607407093048096
23,3.0036959648132324
24,1.8908891677856443
25,1.8882081508636477
26,2.20333194732666
27,2.0454349517822266
28,1.8884949684143064
29,1.654630184173584
30,1.5900061130523682
31,2.2332568168640137
32,2.0604219436645512
33,1.7439401149749756
34,1.823657274246216
35,1.5400040149688718
36,1.5154783725738523
37,1.5524094104766846
38,1.5974674224853516
39,2.8389813899993896
40,1.5857641696929932
41,1.5766923427581787
42,1.531752347946167
43,1.5967035293579102
44,1.559133768081665
45,2.991785287857056
46,1.5636334419250488
47,1.7027111053466797
48,1.6441755294799805
49,1.5957698822021484
50,1.5355947017669678
51,1.577583074569702
52,1.874789476394653
53,2.7674124240875244
54,1.5838136672973633
55,1.7656493186950684
56,1.6175494194030762
57,1.56603741645813
58,1.806790113449097
59,1.504558801651001
60,1.5423824787139893
61,1.5176115036010742
62,1.5066983699798584
63,1.983065843582153
64,2.1584606170654297
65,1.5373218059539795
66,1.5701866149902344
67,1.5422649383544922
68,1.8418755531311035
69,1.540201187133789
70,1.5033910274505615
71,1.5202717781066897
72,2.0419626235961914
73,2.4010610580444336
74,1.523505687713623
75,1.5138871669769287
76,1.525338888168335
77,1.93284010887146
78,1.5279643535614014
79,1.8908295631408687
80,1.5385513305664062
81,1.5276994705200195
82,1.5389750003814695
83,1.5170845985412598
84,1.503509283065796
85,1.5504188537597656
86,1.5146381855010986
87,1.5282449722290041
88,1.5106642246246338
89,1.5286846160888672
90,1.5090386867523191
91,1.5376338958740234
92,1.5278713703155518
93,1.5230557918548584
94,1.5304172039031982
95,1.5123567581176758
96,1.5012972354888916
97,1.521284818649292
98,1.5284860134124756
99,1.5311877727508545
