index,time
0,20.666039228439328
1,21.3192834854126
2,20.74842834472656
3,21.02361631393433
4,20.681201934814453
5,21.095757484436035
6,21.243983268737797
7,21.013845920562748
8,21.16446876525879
9,21.211704969406128
10,21.29990267753601
11,21.095613956451412
12,20.90319061279297
13,20.828559637069702
14,20.79672122001648
15,21.502704858779907
16,20.987661361694336
17,21.054911851882935
18,21.208750486373898
19,21.11025357246399
